feature,importance
sales_lag_1,0.5215577530735058
sales_roll_mean_4,0.31852752612648494
sales_roll_mean_8,0.08600616353751105
sales_lag_2,0.04264474486874213
sales_lag_4,0.007356120128849187
sales_roll_std_4,0.004617261387846836
sales_roll_std_8,0.004308919875689417
snap_days,0.003159827757816949
sales_lag_8,0.0030384199752577076
price_lag_1,0.0021636695787183176
sell_price_mean,0.0019604695996447014
week_of_year,0.0013988316792273542
zero_weeks_last_4,0.0006458678013922037
year,0.0005882312282036919
has_snap,0.0005805231110516514
month,0.0004883122918548194
price_change_pct,0.0004386755977203925
event_days,0.0002284596156769969
has_event,0.00018332134953751123
quarter,0.00010690141526846387
